instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 64;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00147319  Result=0.00147319  Best=0.00147319  Seed=C0A9519E  ResultHash=C7F7  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00144123  Result=0.00144123  Best=0.00144123  Seed=C0A95202  ResultHash=C288  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00144123  Result=0.00146365  Best=0.00144123  Seed=C0A95266  ResultHash=C3B4  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00144123  Result=0.00146830  Best=0.00144123  Seed=C0A952CA  ResultHash=500B  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.00144064  Result=0.00144064  Best=0.00144064  Seed=C0A9532E  ResultHash=FAFF  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.00143689  Result=0.00143689  Best=0.00143689  Seed=C0A95392  ResultHash=73BF  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.00143036  Result=0.00143036  Best=0.00143036  Seed=C0A953F6  ResultHash=08F9  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.00140929  Result=0.00140929  Best=0.00140929  Seed=C0A9545A  ResultHash=3421  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.00140929  Result=0.00141588  Best=0.00140929  Seed=C0A954BE  ResultHash=D6A0  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00137651  Result=0.00137651  Best=0.00137651  Seed=C0A95522  ResultHash=FCA6  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00137651  Result=0.00139368  Best=0.00137651  Seed=C0A95586  ResultHash=656A  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00137651  Result=0.00137676  Best=0.00137651  Seed=C0A955EA  ResultHash=D2B8  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00137651  Result=0.00137675  Best=0.00137651  Seed=C0A9564E  ResultHash=B8E2  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00137413  Result=0.00137413  Best=0.00137413  Seed=C0A956B2  ResultHash=CBDA  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00137413  Result=0.00137615  Best=0.00137413  Seed=C0A95716  ResultHash=D91C  ProgramHash=C47F
