instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.00061393  Result=0.00061667  Best=0.00061393  Seed=C0A964C2  ResultHash=60AA  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.00061393  Result=0.00061584  Best=0.00061393  Seed=C0A96526  ResultHash=98AB  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.00061393  Result=0.00061488  Best=0.00061393  Seed=C0A9658A  ResultHash=424B  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.00061393  Result=0.00061476  Best=0.00061393  Seed=C0A965EE  ResultHash=13CC  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.00061393  Result=0.00061393  Best=0.00061393  Seed=C0A96652  ResultHash=A8E7  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.00061393  Result=0.00061464  Best=0.00061393  Seed=C0A966B6  ResultHash=B353  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.00060487  Result=0.00060487  Best=0.00060487  Seed=C0A9671A  ResultHash=CFF7  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.00059697  Result=0.00059697  Best=0.00059697  Seed=C0A9677E  ResultHash=36E8  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.00059545  Result=0.00059545  Best=0.00059545  Seed=C0A967E2  ResultHash=A27F  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.00059545  Result=0.00059760  Best=0.00059545  Seed=C0A96846  ResultHash=4BBB  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  79  Best=0.00059545  Result=0.00059569  Best=0.00059545  Seed=C0A968AA  ResultHash=EE81  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  80  Best=0.00059411  Result=0.00059411  Best=0.00059411  Seed=C0A9690E  ResultHash=355A  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  81  Best=0.00059411  Result=0.00059578  Best=0.00059411  Seed=C0A96972  ResultHash=B350  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  82  Best=0.00059411  Result=0.00059497  Best=0.00059411  Seed=C0A969D6  ResultHash=9B38  ProgramHash=1187
